Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,P1,Time,P2,SD_P1_Michelina,SD_P2_Michelina,SD_Notes_Michelina
00:03.5,00:04.2,yeah,,,,,
00:07.5,00:07.6,okay,,,,,
00:26.2,00:26.3,yeah,,,,,
00:35.2,00:35.3,okay,,,,,
00:40.9,00:41.0,cool,,,,,
00:52.3,00:53.0,,,yup I think so,,,
00:56.8,00:58.0,all right,,,,,
00:57.4,07:37.9,,S1 ,,,,
00:58.6,00:58.8,,,hey,,,
00:58.8,00:59.3,I'm Isaiah,,,SD,,
01:00.0,01:01.0,,,hi i am gage i guess is my name,,SD,hi i am gage i guess is my name
01:01.0,01:03.6,nice to meet you,,,,,
01:04.2,01:05.5,,,nice to meet you too,,,
01:05.8,01:07.6,,,what school do you go to,,QE,
01:07.7,01:09.2,pause filler I go to Allderdice,,,SD,,
01:09.2,01:10.0,Taylor Allderdice,,,,,
01:10.0,01:10.6,,,oh really,,,
01:10.7,01:11.0,yeah,,,,,
01:11.0,01:12.0,,,I'm going there next year,,SD,
01:12.6,01:13.2,oh nice,,,,,
01:13.2,01:13.8,that's awesome,,,,,
01:13.8,01:15.3,are you excited for it,,,SD,,
01:16.3,01:19.4,,,yeah it sounds like it's going to be good,,,
01:19.4,01:23.0,,,I hear it has like good program for computers right,,,
01:23.2,01:25.4,yeah they have good program for computers,,,,,
01:25.8,01:28.2,they also have a good engineering program too,,,,,
01:28.4,01:30.2,,,engineering and computers it's nice,,,
01:30.6,01:30.8,yeah,,,,,
01:31.4,01:32.9,,,things that I'm interested in,,,
01:32.9,01:33.2,nice,,,,,
01:33.5,01:35.3,that's awesome,,,,,
01:35.3,01:41.2,,,so pause filler yeah I guess we're in some sort of test test right now,,,
01:41.4,01:43.8,yeah looks like it,,,,,
01:43.8,01:46.1,,,pause filler yeah it's nice how they have a shared whiteboard,,,
01:46.1,01:46.8,,,that's cool,,,
01:47.6,01:49.6,,,that's something that I've never seen them before,,SD,
01:49.6,01:50.7,me neither,,,,,
01:52.0,01:58.9,are you pause filler going to be involved in any extra-curricular at Allderdice like sports or pause filler clubs,,,QE,,
01:59.1,02:00.5,,,probably not,,,
02:00.5,02:02.9,,,pause filler a little more introverted with my programs,,SD,
02:03.5,02:06.5,,,particularly the ones (inaudible) evolution,,,
02:06.8,02:07.6,nice,,,,,
02:08.1,02:11.4,well next year I'm pretty sure you'll be learning biology,,,,,
02:11.5,02:13.4,and on the second semester,,,,,
02:13.4,02:15.2,,,oh I'm learning biology this year too,,SD,
02:15.2,02:20.2,yeah well one of the schools I guess you need to learn it twice it's pretty interesting but,,,,,
02:20.4,02:20.7,,,yeah,,,
02:21.2,02:23.2,yeah yeah,,,,,
02:23.4,02:25.2,,,cell biology cell (inaudible),,,
02:25.8,02:33.2,,,pause filler yeah I hear it's going to be almost exactly the same as it was pause filler in middle school,,,
02:33.2,02:34.7,,,which middle school did you go to,,QE,
02:35.0,02:37.2,I pause filler did a program called Cyber School,,,SD,,
02:37.5,02:41.3,and pause filler it was just a tutoring school remotely from home,,,,,
02:41.3,02:44.1,and pause filler using like computers,,,,,
02:44.1,02:45.9,and going to like online classes,,,,,
02:45.9,02:48.2,and learning so that yeah,,,,,
02:48.8,02:49.7,,,okay cool,,,
02:49.7,02:52.5,,,would you say you know a lot about the algebra we're learning here,,SD,
02:52.5,02:56.3,pause filler I mean I don't really get them out so,,,SD,,i know a good amount so
02:56.9,03:07.3,,,yeah yeah yeah I suppose this probably works a little better with kids who are less knowledgeable about it,,,
03:07.7,03:08.0,yes,,,,,
03:08.0,03:12.9,but when it comes to advanced stuff I'm a little rusty on that but yeah,,,SD,,
03:12.9,03:16.6,,,yeah I haven't really done algebra in a while,,SD,
03:16.9,03:19.9,,,we're learning geometry this time of year pause filler,,SD,
03:21.8,03:22.7,nice,,,,,
03:24.7,03:27.1,,,yeah last year was our algebra thing,,SD,
03:27.1,03:30.0,,,have you taken keystones yet,,QE,
03:30.1,03:36.5,pause filler last week pause filler one same Thursday I did the biology keystones,,,,,
03:36.6,03:38.4,and that's was it so,,,,,
03:38.8,03:45.5,,,okay yeah our school as part of our math program we do the keystones,,,
03:45.5,03:48.8,,,pause filler just before high school,,,
03:48.8,03:51.4,,,so we don't have to deal with it then,,,
03:51.4,03:52.9,,,just have to go through now,,,
03:54.2,03:57.3,that's good to get off your chest you know,,,,,
03:57.5,04:03.1,,,factoring polynomials is really the only thing that I've lost after that time,,SD,
04:03.2,04:06.3,,,and overall it doesn't make a lot of sense to me,,,
04:06.3,04:07.4,,,I mean it make sense to me,,SD,
04:07.4,04:11.4,,,but it doesn't seem like you would use it that much,,,
04:12.3,04:17.4,,,as opposed to geometry and algebra where a lot more common,,,
04:17.4,04:22.3,,,but factoring polynomials that's all like the stuff that doesn't really tangible,,,
04:23.1,04:25.8,mm-hmm yeah yeah,,,,,
04:25.8,04:27.1,,,is there like a verb for tangibleness,,,
04:27.4,04:27.6,,,things don't tangenate,,,
04:27.6,04:28.9,(laughter) I have no clue,,,SD,,
04:28.9,04:29.1,,,yeah,,,
04:29.6,04:29.9,nice,,,,,
04:29.9,04:45.8,,,yeah well we're out of conversation topics then,,,
04:46.1,04:48.2,(laughter) won't you look at that right,,,,,
04:48.7,04:50.8,,,yup it didn't take that long at all,,,
04:50.9,04:51.2,no,,,,,
04:51.7,04:54.7,,,what do you see on your screen,,,
04:55.1,04:58.6,,,I see pause filler half of it is pause filler you and me,,,
04:58.6,05:01.8,,,and then the other half would be the desktop,,,
05:02.2,05:03.7,yup that's what I'm seeing,,,,,
05:04.2,05:05.0,it's blue pause filler,,,,,
05:05.0,05:08.6,,,see anything interesting on the desktop,,,
05:09.1,05:10.3,pause filler not really,,,,,
05:10.3,05:11.1,well there's Evernote,,,,,
05:11.4,05:13.5,it's a program,,,,,
05:13.5,05:14.9,,,I see a batch file on the desktop,,,
05:14.9,05:15.9,,,I wonder what it does,,,
05:16.8,05:19.5,pause filler let's see what else,,,,,
05:20.5,05:21.2,that's it,,,,,
05:21.7,05:22.7,I don't know,,,,,
05:22.7,05:23.7,,,does this work,,,
05:24.0,05:27.6,,,well I can't really interact with this until I get the pens,,,
05:27.6,05:30.5,,,so not a lot I can do until then,,,
05:30.5,05:31.7,seems very cool though,,,,,
05:31.7,05:32.8,they're very yeah,,,,,
05:32.8,05:40.3,,,yeah have you seen the cool robotic face recognition program that just was there,,QE,
05:40.3,05:41.1,pause filler no,,,,,
05:41.4,05:42.8,I didn't get to see that,,,,,
05:43.1,05:43.3,no,,,,,
05:43.5,05:46.6,,,it was I forgot when this was it was probably a while ago,,,
05:46.6,05:50.9,,,but there was like pause filler we were just my mom was showing me where she worked,,,
05:51.4,05:57.3,,,pause filler and we classify like this face recognition pause filler robot thing,,,
05:57.3,06:05.4,,,just recognized whether or not we are happy or sad or like making happy or sad face or,,,
06:05.4,06:07.5,,,like a surprised face I guess was the third option,,,
06:07.7,06:09.6,that's very extraordinary wow,,,,,
06:10.3,06:10.7,,,yeah,,,
06:12.0,06:15.0,yeah that's cool all right,,,,,
06:15.0,06:17.2,,,I wonder what we'll be able to do soon,,,
06:17.2,06:19.3,,,and we'll be able to go to Mars,,,
06:19.3,06:20.1,,,(inaudible),,,
06:20.1,06:28.1,yeah I feel like I'm in a kitchen right now because there's a microwave right on the table,,,,,
06:28.1,06:31.2,and behind the computer is a fridge,,,,,
06:31.8,06:35.0,and it's just a kitchen I guess,,,,,
06:35.3,06:37.5,a sink with I don't know,,,,,
06:37.5,06:41.2,I feel like I'm in the kitchen right now,,,,,
06:41.2,06:43.6,,,pause filler I am certainly in a presentation now,,,
06:43.8,06:46.7,,,there is a projector on the ceiling,,,
06:46.7,06:48.4,,,and I am surrounded by whiteboards,,,
06:48.4,06:52.0,,,I mean we won't be able to see if there's a whiteboard that way,,,
06:52.9,06:54.2,,,that way is the glass wall,,,
06:54.2,06:55.4,,,but it's supposed to be whiteboard,,,
06:55.4,06:56.4,,,and then behind me is whiteboard,,,
06:56.4,06:57.1,,,and all that is whiteboard,,,
06:58.0,07:00.3,,,and all this is whiteboard,,,
07:00.3,07:03.6,,,and there's a projector over there,,,
07:03.6,07:08.5,,,and pause filler oh yeah there is a microwave and a coffeemaker and a refrigerator,,,
07:10.4,07:10.8,nice,,,,,
07:12.6,07:13.7,,,yup,,,
07:14.0,07:16.5,did you have your day out,,,,,
07:18.2,07:22.8,,,I have all but forgotten what it was like to be outside today because I didn't pay attention,,SD,
07:22.8,07:25.1,,,mostly I just walk inside,,,
