Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	P2	P1	Time	SD_P1_Michelina	SD_P2_Michelina	SD_Notes_Michelina
00:09.0	00:09.1	okay					
00:11.6	00:12.0		okay				
00:14.7	00:16.9	hey okay weird question do you go to PA Cyber					
00:17.3	00:17.9		yup				
00:18.3	00:20.4	okay I saw you at pause filler the PSSAs					
00:20.5	00:21.6		I knew you look familiar				
00:21.6	00:22.5		I knew it				
00:22.6	00:22.7	I know					
00:23.0	00:24.1	I walked by the room					
00:24.1	00:25.4	and I saw you through the window					
00:25.4	00:27.3	I was like wait a minute					
00:27.5	00:27.8		I know				
00:28.7	00:30.9		because I knew I saw you before				
00:30.9	00:33.6		I just never talked to you before				
00:35.8	00:37.5	it was weird					
00:41.4	00:43.6	it was like dej•À_ vu					
00:43.6	00:44.7		I knew you look familiar				
00:50.0	00:50.2		yay (laughter)				
00:50.4	00:52.1	should I go to page one					
00:52.1	00:54.5	because I'm on page two right now					
00:54.7	00:58.4		pause filler mine is on top so let's go				
00:58.4	00:58.5	okay					
01:10.8	01:15.2	now we wait for tech stuff to get fixed					
01:15.2	01:16.9		it's just like PA cyber				
01:15.3	07:08.4			S1  			
01:16.9	01:17.9	I know right					
01:17.9	01:20.6	they like telling me how computers never worked					
01:20.6	01:22.8	I'm like I'm in cyber school I know that					
01:22.8	01:24.2	I know that by now					
01:25.0	01:26.3	it's kind of obvious					
01:26.4	01:29.0		how long have you been in PA Cyber		QE		
01:29.0	01:30.9	pause filler two years I think				SD	
01:30.9	01:32.0	no this is my third year				SD	
01:32.5	01:33.0		cool				
01:33.0	01:38.2	and before that I did another cyber school that wasn't as good (laughter)				SD	
01:38.6	01:45.1	yeah but then I'm actually pause filler switching schools to like a private school next year				SD	
01:45.2	01:46.3	so I won't be in anymore					
01:47.0	01:48.1	how long have you been in it				QE	
01:48.2	01:50.1		seven years which I'm seventh grade so		SD		
01:50.4	01:50.9	wow					
01:51.2	01:53.8		you never know (inaudible)				
01:53.8	01:56.8	exactly because before that I was home schooled				SD	
01:56.8	01:57.4	so it's like					
01:57.4	01:59.3	it's not exactly cyber school					
01:59.3	02:04.0	but it just (inaudible)					
02:04.0	02:05.1	so do you take all virtuals				QE	
02:05.7	02:05.9		yeah				
02:05.9	02:13.1	okay I take two virtuals and like two self-paced which is self-pace kind of stick though				SD	
02:13.1	02:14.9	I don't think there is as good as virtuals so				SD	
02:15.0	02:18.2		yeah I think I did it like one year				
02:18.3	02:20.0		and I didn't				
02:20.0	02:23.0	yeah I think I just did it because					
02:23.8	02:25.4	I don't know					
02:25.4	02:26.1	I feel like (inaudible)					
02:26.1	02:31.6	and I feel like that would be really boring like as a virtual				SD	
02:31.6	02:32.7	but I think I'm wrong					
02:33.4	02:40.8	no I always liked to see pause filler if people have the same teachers with me				SD	
02:40.8	02:45.3	but I know it's like really really brighter like					
02:45.3	02:46.3	what's your name				QE	
02:46.5	02:46.8		Darby		SD		
02:47.3	02:51.2	okay yeah I don't think I have any Darbys in any of my classes				SD	
02:51.6	02:53.2		what grade are you in		QE		
02:53.2	02:58.3	seventh yeah so we could have made in the same class but				SD	
02:58.5	02:59.0		what's your name		QE		
02:59.0	02:59.6		Jayel			SD	transcript in wrong tier
02:59.6	03:04.1		I don't think I remember do you know one kid named Kinsley		QE		
03:04.7	03:05.9	Kinsley nope I don't				SD	
03:06.2	03:08.4		so I think she had a kid named Kale in the class				
03:08.7	03:10.0		but I'm not sure				
03:10.6	03:11.0	yeah					
03:11.0	03:13.2		what all teachers have you had		QE		
03:14.0	03:15.1	what teachers do I have					
03:15.7	03:15.8		yeah				
03:16.3	03:23.6	yeah pause filler right now I have Ms. Domingo and Ms. Frizzle which is really funny because Ms. Frizzle				SD	
03:23.6	03:29.1	I always like joke around about it because you know like Ms. Frizzle from like the Magic School Bus or whatever				SD	
03:29.1	03:29.5		yeah				
