Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	P1	Time	P2	SD_P1_Michelina	SD_P2_Michelina	SD_Notes_Michelina
00:00:03.500	00:00:04.200	yeah					
00:00:07.500	00:00:07.600	okay					
00:00:26.200	00:00:26.300	yeah					
00:00:35.200	00:00:35.300	okay					
00:00:40.900	00:00:41.000	cool					
00:00:52.300	00:00:53.000			yup I think so			
00:00:56.800	00:00:58.000	all right					
00:00:57.440	00:07:37.920		S1 				
00:00:58.600	00:00:58.800			hey			
00:00:58.800	00:00:59.300	I'm Isaiah			SD		
00:01:00.000	00:01:01.000			hi I am (inaudible) I guess		SD	hi i am gage i guess is my name
00:01:01.000	00:01:03.600	nice to meet you					
00:01:04.200	00:01:05.500			nice to meet you too			
00:01:05.800	00:01:07.600			what school do you go to		QE	
00:01:07.700	00:01:09.200	pause filler I go to Allderdice			SD		
00:01:09.200	00:01:10.000	Taylor Allderdice					
00:01:10.000	00:01:10.600			oh really			
00:01:10.700	00:01:11.000	yeah					
00:01:11.000	00:01:12.000			I'm going there next year		SD	
00:01:12.600	00:01:13.200	oh nice					
00:01:13.200	00:01:13.800	that's awesome					
00:01:13.800	00:01:15.300	are you excited for it			SD		
00:01:16.300	00:01:19.400			yeah it sounds like it's going to be good			
00:01:19.400	00:01:23.000			I hear it has like good program for computers right			
00:01:23.200	00:01:25.400	yeah they have good program for computers					
00:01:25.800	00:01:28.200	they also have a good engineering program too					
00:01:28.400	00:01:30.200			engineering and computers it's nice			
00:01:30.600	00:01:30.800	yeah					
00:01:31.400	00:01:32.900			things that I'm interested in			
00:01:32.900	00:01:33.200	nice					
00:01:33.500	00:01:35.300	that's awesome					
00:01:35.300	00:01:41.200			so pause filler yeah I guess we're in some sort of test test right now			
00:01:41.400	00:01:43.800	yeah looks like it					
00:01:43.800	00:01:46.100			pause filler yeah it's nice how they have a shared whiteboard			
00:01:46.100	00:01:46.800			that's cool			
00:01:47.600	00:01:49.600			that's something that I've never seen them before		SD	
00:01:49.600	00:01:50.700	me neither					
00:01:52.000	00:01:58.900	are you pause filler going to be involved in any extra-curricular at Allderdice like sports or pause filler clubs			QE		
00:01:59.100	00:02:00.500			probably not			
00:02:00.500	00:02:02.900			pause filler a little more introverted with my programs		SD	
00:02:03.500	00:02:06.500			particularly the ones (inaudible) evolution			
00:02:06.800	00:02:07.600	nice					
00:02:08.100	00:02:11.400	well next year I'm pretty sure you'll be learning biology					
00:02:11.500	00:02:13.400	and on the second semester					
00:02:13.400	00:02:15.200			oh I'm learning biology this year too		SD	
00:02:15.200	00:02:20.200	yeah well one of the schools I guess you need to learn it twice it's pretty interesting but					
00:02:20.400	00:02:20.700			yeah			
00:02:21.200	00:02:23.200	yeah yeah					
00:02:23.400	00:02:25.200			cell biology cell (inaudible)			
00:02:25.800	00:02:33.200			pause filler yeah I hear it's going to be almost exactly the same as it was pause filler in middle school			
00:02:33.200	00:02:34.700			which middle school did you go to		QE	
00:02:35.000	00:02:37.200	I pause filler did a program called Cyber School			SD		
00:02:37.500	00:02:41.300	and pause filler it was just a tutoring school remotely from home					
00:02:41.300	00:02:44.100	and pause filler using like computers					
00:02:44.100	00:02:45.900	and going to like online classes					
00:02:45.900	00:02:48.200	and learning so that yeah					
00:02:48.800	00:02:49.700			okay cool			
00:02:49.700	00:02:52.500			would you say you know a lot about the algebra we're learning here		SD	
00:02:52.500	00:02:56.300	pause filler I mean I don't really get them out so			SD		i know a good amount so
