Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,P1,P2,Time,DQ_P1_Robbie,DQ_P2_Robbie,KT_P1_Scott,KT_P2_Scott,KB_P1_Scott,KB_P2_Scott,MC_P1_Scott,MC_P2_Scott,SQ_P2_Sarah,SQ_P1_Sarah
00:00:45.918,00:00:46.816,pause filler I'm hearing stuff,,,,,,,,,,,,
00:00:47.305,00:00:48.133,,yeah can you hear me,,,,,,,,,,OSQ,
00:00:48.233,00:00:49.231,yeah I can hear you,,,,,,,,,,,,
00:00:49.231,00:00:49.560,,all right,,,,,,,,,,,
00:00:50.149,00:00:51.406,yeah okay,,,,,,,,,,,,
00:00:53.780,00:00:54.968,what,,,,,,,,,,,,OSQ
00:00:59.727,00:01:02.251,yeah is there a way to,,,,,,,,,,,,OSQ
00:01:17.955,00:01:18.424,uh-huh,,,,,,,,,,,,
00:01:41.342,00:01:41.542,okay,,,,,,,,,,,,
00:01:42.001,00:01:44.395,,nice to see you again,,,,,,,,,,,
00:01:43.340,00:07:10.590,,,S1 ,,,,,,,,,,
00:01:45.094,00:01:49.144,yeah nice to see you as well yeah,,,,,,,,,,,,
00:01:50.062,00:01:51.479,,so how's your week,,,,,,,,,,OSQ,
00:01:51.479,00:01:52.118,pause filler pretty good pause filler,,,,,,,,,,,,
00:01:52.148,00:01:55.410,see spring break just started for me,,,,,,,,,,,,
00:01:55.410,00:01:55.878,what about you,,,,,,,,,,,,OSQ
00:01:55.878,00:01:56.977,have you guys spring break yet,,,,,,,,,,,,OSQ
00:01:57.346,00:01:59.870,,no pause filler I have like a half day Wednesday,,,,,,,,,,,
00:01:59.870,00:02:02.534,,and then on Thursday and Friday I'm off,,,,,,,,,,,
00:02:02.534,00:02:05.078,,and then on Monday I'm off again so,,,,,,,,,,,
00:02:05.078,00:02:07.632,I've had the entire week off,,,,,,,,,,,,
00:02:07.632,00:02:08.509,so a little bit,,,,,,,,,,,,
00:02:08.509,00:02:08.750,,really,,,,,,,,,,OSQ,
00:02:08.750,00:02:11.943,yeah so this all be nice,,,,,,,,,,,,
00:02:11.943,00:02:14.118,,I wish I had the entire week off,,,,,,,,,,,
00:02:14.118,00:02:16.063,yeah that sucks,,,,,,,,,,,,
00:02:16.522,00:02:25.143,,(laughter) I think next year my school was going to try to do like the entire week thing,,,,,,,,,,,
00:02:25.143,00:02:26.420,,but not this year,,,,,,,,,,,
00:02:27.527,00:02:27.707,oh,,,,,,,,,,,,
00:02:28.226,00:02:29.103,that would be nice,,,,,,,,,,,,
00:02:29.103,00:02:31.448,I hope that it works out,,,,,,,,,,,,
00:02:31.618,00:02:34.671,,yeah so what are you doing for Easter,,,,,,,,,,OSQ,
00:02:36.277,00:02:41.386,pause filler oh wow I think you realize I was coming up,,,,,,,,,,,,
00:02:41.386,00:02:42.094,I don't know,,,,,,,,,,,,
00:02:42.094,00:02:46.025,not much I don't think,,,,,,,,,,,,
00:02:46.025,00:02:49.368,so I'm ever going to do anything,,,,,,,,,,,,
00:02:49.368,00:02:50.345,are you going to do anything,,,,,,,,,,,,OSQ
00:02:50.515,00:02:50.814,,I don't know,,,,,,,,,,,
00:02:50.814,00:02:54.167,,I'm probably just going to have dinner with my family or something like that,,,,,,,,,,,
00:02:54.167,00:02:55.813,,maybe some family will come over,,,,,,,,,,,
00:02:56.242,00:02:58.656,,and I'll go to church probably on that day,,,,,,,,,,,
00:03:01.450,00:03:03.605,that's nice,,,,,,,,,,,,
00:03:04.014,00:03:10.909,,so are you tired,,,,,,,,,,OSQ,
00:03:10.909,00:03:12.525,,I'm tired (laughter),,,,,,,,,,,
00:03:12.884,00:03:17.194,yeah I guess I probably I stayed up a little bit late last night,,,,,,,,,,,,
00:03:17.364,00:03:23.470,,yeah but sometimes and like I want to sleep but I don't but I should (laughter),,,,,,,,,,,
00:03:23.470,00:03:25.196,yeah and me too,,,,,,,,,,,,
00:03:25.196,00:03:30.674,I was reading and I'm like this book is good but I probably should go to bed,,,,,,,,,,,,
00:03:30.674,00:03:30.993,,yeah,,,,,,,,,,,
00:03:33.308,00:03:36.241,but you know since I didn't have to wake up as early,,,,,,,,,,,,
00:03:36.301,00:03:39.743,so I (inaudible) myself stay up later,,,,,,,,,,,,
00:03:40.432,00:03:42.527,,why do usually have to wake up early,,,,,,,,,,OSQ,
00:03:42.627,00:03:45.490,yeah school starts at seven thirty-six for me,,,,,,,,,,,,
00:03:45.490,00:03:46.977,so I have to wake up at six o'clock,,,,,,,,,,,,
00:03:46.977,00:03:50.499,,oh yeah I have to wake up at seven o'clock also,,,,,,,,,,,
00:03:50.499,00:03:53.013,,I'm at eight six o'clock I can't yet,,,,,,,,,,,
00:03:53.013,00:03:55.108,yeah because it's just so annoying entire and waking up like that,,,,,,,,,,,,
00:03:55.108,00:03:56.016,,yeah I agree,,,,,,,,,,,
00:03:56.016,00:04:05.085,I was really lucky because like other people that takes a bus for like the first stop,,,,,,,,,,,,
00:04:05.085,00:04:07.859,they have to wake up like around five so,,,,,,,,,,,,
00:04:09.266,00:04:14.933,,yeah my bus comes at like seven o four or something like that,,,,,,,,,,,
00:04:14.933,00:04:17.757,yeah my bus comes like yeah around that time,,,,,,,,,,,,
00:04:17.757,00:04:20.760,somewhere between like six fifty-five,,,,,,,,,,,,
00:04:20.779,00:04:24.461,so instead of five so usually on the earlier side on that,,,,,,,,,,,,
00:04:24.821,00:04:25.739,,so where do you live,,,,,,,,,,OSQ,
00:04:26.547,00:04:28.163,I live in Squirrel Hill,,,,,,,,,,,,
00:04:28.163,00:04:31.256,,oh okay that's pretty far away then from my house I mean,,,,,,,,,,,
00:04:31.256,00:04:33.441,,I live in pause filler I live in Imperial,,,,,,,,,,,
00:04:33.441,00:04:34.957,,do you know where the airport is,,,,,,,,,,OSQ,
00:04:35.237,00:04:35.756,yeah,,,,,,,,,,,,
00:04:35.965,00:04:38.869,,I live like a few minutes away from the airport so,,,,,,,,,,,
00:04:38.959,00:04:40.774,oh yeah that is far away,,,,,,,,,,,,
00:04:40.884,00:04:43.149,,yeah (laughter),,,,,,,,,,,
00:04:46.731,00:04:48.547,,so are you going on vacation this summer,,,,,,,,,,OSQ,
00:04:48.547,00:04:49.764,,or doing anything fun,,,,,,,,,,OSQ,
00:04:50.732,00:04:51.819,yeah because summer pause filler really,,,,,,,,,,,,
00:04:51.819,00:04:53.875,so I'm not figured out what we're going to do,,,,,,,,,,,,
00:04:53.875,00:05:01.976,but yeah we're probably going to end up going to Maryland because my grandparents are over there,,,,,,,,,,,,
00:05:02.196,00:05:02.794,,that sounds fun,,,,,,,,,,,
00:05:02.794,00:05:03.892,yeah we usually go to Colorado,,,,,,,,,,,,
00:05:04.191,00:05:07.833,but we're not sure we're going to go this year,,,,,,,,,,,,
00:05:08.382,00:05:10.836,so we need to figure that out,,,,,,,,,,,,
00:05:15.126,00:05:17.222,,so it was just warm,,,,,,,,,,,
00:05:17.222,00:05:18.568,,and then it's not even warm again,,,,,,,,,,,
00:05:18.568,00:05:19.636,,it's just cold again,,,,,,,,,,,
00:05:19.895,00:05:20.953,I know it sucks,,,,,,,,,,,,
00:05:20.953,00:05:22.240,it's like all cool,,,,,,,,,,,,
00:05:22.240,00:05:24.196,I want it to be warm,,,,,,,,,,,,
00:05:24.196,00:05:26.910,and it's like somewhat snowing outside,,,,,,,,,,,,
00:05:27.029,00:05:28.546,,it was snowing yeah,,,,,,,,,,,
00:05:28.765,00:05:29.224,yeah,,,,,,,,,,,,
00:05:29.464,00:05:32.008,,so are you excited for spring summer though,,,,,,,,,,OSQ,
00:05:33.066,00:05:35.939,yeah I can't wait just not waking up as early,,,,,,,,,,,,
00:05:36.398,00:05:40.219,,yeah the only thing I really like about winter is when it actually snows,,,,,,,,,,,
00:05:40.219,00:05:41.975,,and then it barely even snowed this winter,,,,,,,,,,,
00:05:41.975,00:05:42.464,,so I'm done,,,,,,,,,,,
00:05:42.464,00:05:46.984,I know it was just sort of like annoying like enough that you had to shovel it,,,,,,,,,,,,
00:05:47.084,00:05:49.359,but you didn't get any days off,,,,,,,,,,,,
00:05:49.608,00:05:50.057,,yeah,,,,,,,,,,,
00:05:50.636,00:05:54.207,I actually got like one day off this entire winter,,,,,,,,,,,,
00:05:54.207,00:05:54.597,,yeah me too,,,,,,,,,,,
00:05:55.445,00:05:57.879,yeah but it was like not even cold out,,,,,,,,,,,,
00:05:58.528,00:06:01.690,,and I only got like two-hour delays probably,,,,,,,,,,,
00:06:01.690,00:06:04.245,yeah we didn't get yeah the same for us,,,,,,,,,,,,
00:06:04.245,00:06:08.585,it is like winter wasn't even here,,,,,,,,,,,,
00:06:09.163,00:06:09.543,,yeah (laughter),,,,,,,,,,,
00:06:09.622,00:06:15.320,,I don't know if they go to your school or not,,,,,,,,,,,
00:06:15.320,00:06:18.931,,but a couple of my friends are at Squirrel Hill and then pause filler,,,,,,,,,,,
00:06:19.001,00:06:20.777,,do you know Sophia Doyna or Trisha Soreta,,,,,,,,,,OSQ,
00:06:20.777,00:06:21.136,I (inaudible),,,,,,,,,,,,
00:06:21.635,00:06:26.275,,okay because I think they go to Falk,,,,,,,,,,,
00:06:26.275,00:06:28.090,,never mind (laughter),,,,,,,,,,,
00:06:29.118,00:06:29.667,yeah,,,,,,,,,,,,
00:06:38.587,00:06:48.175,,so what made you decide to do the CMU thing,,,,,,,,,,OSQ,
00:06:48.674,00:06:53.054,oh well I guess pause filler my mom works here,,,,,,,,,,,,
00:06:53.054,00:06:54.301,so she noticed it,,,,,,,,,,,,
00:06:54.381,00:06:57.933,and yeah I decided I'd do it,,,,,,,,,,,,
00:06:58.082,00:06:58.312,,yeah,,,,,,,,,,,
00:06:58.621,00:06:58.970,so,,,,,,,,,,,,
00:06:59.349,00:07:02.891,,it's not too long you get money,,,,,,,,,,,
00:07:03.470,00:07:04.717,yeah money is nice,,,,,,,,,,,,
00:07:04.987,00:07:07.222,,yeah but it's a good experience also,,,,,,,,,,,
00:07:08.259,00:07:08.668,yeah (inaudible),,,,,,,,,,,,
00:07:16.351,00:07:17.528,,thank you,,,,,,,,,,,
00:07:17.528,00:07:18.855,I have a question,,,,,,,,,,,,
00:07:18.915,00:07:24.283,is there a way to turn this down a little bit,,,,,,,,,,,,OSQ
00:07:24.283,00:07:25.221,,all right,,,,,,,,,,,
00:07:25.221,00:07:26.328,(inaudible) all right thanks,,,,,,,,,,,,
00:08:05.830,00:28:25.390,,,T1 ,,,,,,,,,,
00:08:08.612,00:08:09.151,pause filler okay (laughter),,,,,,,,,,,,
00:08:09.859,00:08:12.593,,so do you know how to do this,,,CU,,,,,,,,
00:08:12.593,00:08:13.990,,you've learned this in school right,,,,,,,,,,OSQ,
00:08:14.189,00:08:18.769,yeah so okay so yeah,,,,,,,,,,,,
00:08:18.769,00:08:21.912,the first thing is you want to get x alone,,,,,SP,,,,,,,
00:08:21.912,00:08:25.055,you want to get rid of those the three over seven pause filler,,,,,SP,,,,,,,
00:08:26.262,00:08:35.351,,yes so then you would have to well on the sheet it was like saying that you would have to do seven x,,,,,SP,,,,,,
00:08:35.351,00:08:36.908,,but I guess that's not,,,,,,,,,,,
00:08:37.496,00:08:38.265,,well never mind,,,,,,,,,,,
00:08:39.102,00:08:41.895,yeah so there's like two ways to do this,,,,,SP,,,,,,,
00:08:41.956,00:08:45.458,you could either divide x plus three over seven,,,,,SP,,,,,,,
00:08:45.458,00:08:48.352,or you could multiply it plus three over seven,,,,,SP,,,,,,,
00:08:49.579,00:08:52.333,,yes so you would have to divide it by three sevens,,,,,SP,,,,,,
00:08:53.151,00:08:56.543,yeah or we could multiply it by the reciprocal,,,,,CF,,,,,,,
00:08:57.062,00:08:58.159,because that would also work,,,,,,,ER,,,,,
00:08:58.159,00:08:59.846,because that would turn it into one,,,,,,,ER,,,,,
00:09:00.534,00:09:01.322,,yeah yeah yeah,,,,,,,,,,,
00:09:02.041,00:09:03.398,,so what do you think,,,,,,,,,,OSQ,
00:09:03.398,00:09:04.126,,what do you,,,,,,,,,,OSQ,
00:09:05.054,00:09:08.925,pause filler I mean it all depends,,,,,,,,,,,,
00:09:09.035,00:09:11.759,would you rather divide forty or,,,,,,,,,,,,RS
00:09:11.759,00:09:13.604,would you rather multiply over forty,,,,,,,,,,,,RS
