Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	P1	P2	Time	SD_P1_Michelina	SD_P2_Michelina	SD_Notes_Michelina
00:03.9	00:05.5	oh he doesn't have the headphones on yet					
00:11.5	00:13.9	he's not saying anything yet					
01:00.2	01:00.9	all right					
01:22.5	01:22.7	okay					
01:31.6	01:33.3	all right thank you					
01:32.6	07:51.2			S1 			
01:33.3	01:33.7		so				
01:33.7	01:35.4	are you getting me clear					
01:35.5	01:35.6		yeah				
01:35.6	01:37.2		you pause filler you are getting me				
01:37.9	01:38.1	pause filler yeah					
01:38.5	01:38.9		okay				
01:39.1	01:40.1	all right that's great					
01:40.1	01:41.4	so how are you doing			QE		
01:41.7	01:42.5		pause filler good			SD	
01:42.6	01:43.9		pause filler how are you			QE	
01:44.4	01:45.6	pause filler I'm doing great			SD		
01:46.8	01:47.4	what's your name			QE		
01:47.8	01:49.0		pause filler I'm Charlie			SD	
01:49.9	01:50.7	well I'm Jordan			SD		
01:50.7	01:51.7	nice to meet you Charlie					
01:51.9	01:52.5		nice to meet you				
01:54.0	01:56.4	so I sign the tutoring thing					
01:58.1	02:03.1	well I guess you're supposed to pause filler open the pause filler					
02:06.4	02:07.6	oh boy					
02:08.3	02:11.6	pause filler I guess we're going to					
02:11.8	02:19.0	she said she's going to like set up the servers and stuff so that she can pause filler make sure everything is working properly					
02:19.6	02:23.4	and she pause filler took the stylus for the writing thing					
02:24.1	02:25.0		oh yeah same here				
02:25.0	02:28.3	pause filler I guess they don't want us to mess around					
02:29.8	02:30.1		yeah				
02:36.1	02:42.6	so well so did your mom like asked you to do this or					
02:42.6	02:50.4		pause filler I was in desperate need of the money so yeah				
02:51.0	02:53.7	my mom just found this on like the Highland Park list					
02:53.7	02:55.5	and she's like all right Jordan you have to go					
02:55.5	03:00.5	and then yeah so and I was like oh I'm getting paid for it					
03:00.6	03:01.2	awesome					
03:01.8	03:06.5		yeah it's like if reward is involved I will do it			SD	
03:08.3	03:12.6	and I heard we get like an extra ten dollars if we finish it or something					
03:12.7	03:14.8		oh yeah something like that				
03:15.1	03:21.3	yeah so if we get this all done imagine twenty-five dollars					
03:22.1	03:25.9		well all the money I earn I'm in debt to my parents			SD	
03:26.4	03:27.9	you're in debt to your parents					
03:28.0	03:28.5		yeah				
03:29.3	03:32.0	well that must be pretty hard then					
03:32.4	03:36.2		yeah good thing is only like thirty something dollars so				
03:36.4	03:36.8	oh					
03:37.5	03:40.5		and I'll still have some money in the future I guess				
03:41.7	03:45.5	yeah so are you good at math or			QE		
03:46.3	03:48.7		pause filler I'm okay			SD	
03:48.7	03:52.0		surprisingly I have a b in the class which I did not think I have			SD	
03:53.7	03:57.9	oh well math is like my worst subject			SD		
03:58.4	04:01.9	but I mean I understand like this stuff			SD		
04:01.9	04:08.7	it's just that some of the algebra I'm getting into is just like pretty difficult for me you know			SD		
04:08.8	04:15.4		yeah they're like there's a point where it's not easy to make the transition to go to new math				
04:16.1	04:21.4		so you don't really have the best stuff to position on with				
04:22.0	04:23.8	yeah I see what you're saying					
04:25.2	04:30.8		so that I wish there was a better way you could do it like making the transitions			SD	
04:31.7	04:43.3	yeah it's like you know just like like one minute it's like the easiest thing ever like those graphs and then like pause filler					
04:43.5	04:45.9		just like small multiplication division stuff				
